Date,Event Type,EventName,Notes,Time,Acts,Cost,Venue,Link,Source
"May 1, 2026",,Gov't Mule — Orpheum Theater,"PERFORMERS: Gov't Mule — Warren Haynes (guitar/vocals), Matt Abts (drums), Danny Louis (keys/guitar/vocals), Jorgen Carlsson (bass). Full-force electric show at Orpheum — described as 'raw, electric, and built for the faithful.' Final show of their spring headlining tour. Part of 2-night Orpheum residency (previous night: Warren Haynes Band with LPO).",Evening,,Ticketed,Orpheum Theater (https://www.notion.so/Orpheum-Theater-33da37df871081a08769d377b570873a?pvs=21),https://orpheumnola.com,
"April 29, 2026",,Grahame Lesh & Friends — Fest by Nite (Night 2),"PERFORMERS: Grahame Lesh (guitar/bass/vocals), Jake Brownstein (guitar, Eggy), Daniel Donato (guitar, Cosmic Country), John Molo (drums), Cory Henry (organ, Funk Apostles), Kanika Moore (vocals), The Preservation Hall Horns; special guest Ivan Neville (keys/vocals, Dumpstaphunk). Night 2 of 2-night Joy Theater run during Daze Between. Part of Fest by Nite 2026.",Doors 6:30pm / Show 7:30pm,,Ticketed,The Joy Theater (https://www.notion.so/The-Joy-Theater-330a37df871081278073f8f2e86aba86?pvs=21),https://liveforlivemusic.com/news/grahame-lesh-friends-joy-theater-new-orleans-jazz-fest-by-nite-2026/,
"April 30, 2026",Live Music,Karl Denson's Tiny Universe — The Fillmore,"PERFORMERS: Karl Denson's Tiny Universe (Karl Denson on sax/vocals, plus full band). Jazz-funk outfit. Coincides with Weekend 2 kickoff night. Listed in Gambit spring concert calendar.",Evening,,Ticketed,The Fillmore New Orleans (https://www.notion.so/The-Fillmore-New-Orleans-33da37df8710818a9e98c407b31db219?pvs=21),https://www.nola.com/gambit/events/new-orleans-spring-concert-calendar/article_616e7ec0-abfc-41ed-80d1-b2977ff2ea41.html,
"April 29, 2026",Live Music,Money Chicha — The Broadside,PERFORMERS: Money Chicha (psychedelic cumbia / tropical psych band). Daze Between show at The Broadside.,Evening,,TBA,The Broadside (https://www.notion.so/The-Broadside-330a37df8710817aa21ec9dfff49e4f1?pvs=21),https://www.nola.com/gambit/events/new-orleans-spring-concert-calendar/article_616e7ec0-abfc-41ed-80d1-b2977ff2ea41.html,
"May 2, 2026",,The Meters Reunion — Saenger Theatre,"PERFORMERS: The Meters — George Porter Jr. (bass), Leo Nocentelli (guitar), and band. SOLD OUT. Also playing Fillmore NOLA earlier in the festival week with Dumpstaphunk (also sold out). One of two major Meters reunion shows during Jazz Fest 2026 season.",Evening,,SOLD OUT,Saenger Theatre (https://www.notion.so/Saenger-Theatre-336a37df871081ebb8f0e5c1f3167469?pvs=21),https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,
"May 2, 2026",Live Music,The Meters — Saenger Theatre,"PERFORMERS: The Meters (Leo Nocentelli, George Porter Jr., Zigaboo Modeliste). Reunion show at Saenger Theatre. SOLD OUT. Weekend 2 Saturday — same night as Lettuce/Stanton Moore/Howlin Wolf cluster. Note: separate from the Apr 24 Meters w/ Dumpstaphunk at Joy Theater (also sold out).",Evening,,SOLD OUT,,https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,
"April 30, 2026",,Help on the Way — Fest by Nite,"PERFORMERS: Help on the Way (supergroup) ft. Eric Krasno (guitar), Ross James (drums), Oteil Burbridge (bass/Dead & Co), Grahame Lesh, Ivan Neville (keys), Nikki Glaspie (drums, Dumpstaphunk), Steve Watkins. Grateful Dead-inspired all-star project. Fest by Nite 2026 at The Howlin' Wolf. Same night as Lettuce RAGE!FEST and Stanton Moore.",Evening,,Ticketed,The Howlin' Wolf (https://www.notion.so/The-Howlin-Wolf-330a37df8710810e92e6ec8780c42dbf?pvs=21),https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,
"May 2, 2026",,J & The Causeways: Alligator Rock — Fest by Nite,PERFORMERS: J & The Causeways performing 'Alligator Rock: A New Orleans Tribute to Elton John'. Fest by Nite 2026 at Toulouse Theatre. Weekend 2 Saturday night.,Evening,,Ticketed,Toulouse Theatre (https://www.notion.so/Toulouse-Theatre-330a37df871081e7ad5efa952f2439ca?pvs=21),https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,
"April 26, 2026",Live Music,Adam Deitch's 50th Birthday Bash — Fest by Nite,"PERFORMERS: Adam Deitch (drums, Lettuce/Break Science) 50th Birthday Celebration ft. Oteil Burbridge (Dead & Co), Ivan Neville (Dumpstaphunk), Marcus Machado, and more. Fest by Nite 2026 at The Broadside. Sun night close of Weekend 1.",Evening,,Ticketed,The Broadside (https://www.notion.so/The-Broadside-330a37df8710817aa21ec9dfff49e4f1?pvs=21),https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,
,,,,,,,,,
