EventName,Acts,Cost,Date,Entry Method,Event Type,Interested?,Link,Notes,Organization,Place,Series,Source,Status,Time,Venue
The Motet Plays Jamiroquai — Fest by Nite,,Ticketed,"April 30, 2026",Claude Agent,,No,https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,PERFORMERS: The Motet performing Jamiroquai tribute set. Denver-based funk/jazz band known for deep tribute performances. Part of Fest by Nite 2026 late-night at The Howlin' Wolf.,,,,,,After midnight (technically early am 5/1),The Howlin' Wolf (https://www.notion.so/The-Howlin-Wolf-330a37df8710810e92e6ec8780c42dbf?pvs=21)
Adam Deitch 50th Birthday Celebration,,Ticketed,"April 26, 2026",Claude Agent,,Yes,https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,"PERFORMERS: Adam Deitch (drums, Lettuce / Break Science) celebrating his 50th birthday. Guests include Oteil Burbridge (Dead & Company), Ivan Neville (Dumpstaphunk), Marcus Machado, and more TBA. Part of Fest by Nite 2026 ecosystem at The Broadside.",,,,,,Evening,The Broadside (https://www.notion.so/The-Broadside-330a37df8710817aa21ec9dfff49e4f1?pvs=21)
The Meters w/ Dumpstaphunk — Fest by Nite,,SOLD OUT,"April 24, 2026",Claude Agent,,No,https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,"PERFORMERS: The Meters reunion show featuring George Porter Jr., Leo Nocentelli; with Dumpstaphunk (Ivan Neville, Tony Hall). SOLD OUT. Fest by Nite 2026. Meters also playing Saenger Theatre on Sat May 2 (also SOLD OUT).",,,,,,Evening,The Fillmore New Orleans (https://www.notion.so/The-Fillmore-New-Orleans-33da37df8710818a9e98c407b31db219?pvs=21)
Sylvan Esso (DJ Set) — Fest by Nite,,GA $30 adv / $35 DOS / VIP $65,"April 26, 2026",Claude Agent,Live Music,No,https://liveforlivemusic.com/news/sylvan-esso-dj-set-toulouse-theatre-new-orleans-jazz-fest-by-nite-2026/,"PERFORMERS: Sylvan Esso DJ Set (Amelia Meath + Nick Sanborn / Made of Oak). Electro-pop duo from Durham, NC. Rounds out Weekend 1 of Fest by Nite 2026. $1 from every ticket benefits Positive Legacy and Grace at the Green Light.",,,,,,Doors 9pm / Show 10pm,Toulouse Theatre (https://www.notion.so/Toulouse-Theatre-330a37df871081e7ad5efa952f2439ca?pvs=21)
GIVERS — Fest by Nite,,Ticketed,"April 23, 2026",Claude Agent,,No,https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,"PERFORMERS: GIVERS (Lafayette, LA indie/rock band). Fest by Nite 2026 show at Toulouse Theatre. Also performing at Fair Grounds on Friday April 24 (Shell Gentilly Stage: GIVERS - In Light).",,,,,,Evening,Toulouse Theatre (https://www.notion.so/Toulouse-Theatre-330a37df871081e7ad5efa952f2439ca?pvs=21)
"Dead Feat ft. Anders Osborne, Kenny Gradney & Friends",,Ticketed,"April 30, 2026",Claude Agent,,Yes,https://www.nola.com/gambit/events/new-orleans-spring-concert-calendar/article_616e7ec0-abfc-41ed-80d1-b2977ff2ea41.html,"PERFORMERS: Dead Feat — a collaboration celebrating both the Grateful Dead and Little Feat, featuring Anders Osborne (guitarist, NOLA legend), Kenny Gradney (bass, Little Feat), Jackie Greene, and more. Republic NOLA. First night of Weekend 2.",,,,,,Evening,Republic NOLA (https://www.notion.so/Republic-NOLA-33da37df871081ea8bbae55e8e602eaf?pvs=21)
Gov't Mule — Orpheum Theater,,Ticketed,"May 1, 2026",Claude Agent,,Yes,https://orpheumnola.com,"PERFORMERS: Gov't Mule — Warren Haynes (guitar/vocals), Matt Abts (drums), Danny Louis (keys/guitar/vocals), Jorgen Carlsson (bass). Full-force electric show at Orpheum — described as 'raw, electric, and built for the faithful.' Final show of their spring headlining tour. Part of 2-night Orpheum residency (previous night: Warren Haynes Band with LPO).",,,,,,Evening,Orpheum Theater (https://www.notion.so/Orpheum-Theater-33da37df871081a08769d377b570873a?pvs=21)
Grahame Lesh & Friends — Fest by Nite (Night 2),,Ticketed,"April 29, 2026",Claude Agent,,Yes,https://liveforlivemusic.com/news/grahame-lesh-friends-joy-theater-new-orleans-jazz-fest-by-nite-2026/,"PERFORMERS: Grahame Lesh (guitar/bass/vocals), Jake Brownstein (guitar, Eggy), Daniel Donato (guitar, Cosmic Country), John Molo (drums), Cory Henry (organ, Funk Apostles), Kanika Moore (vocals), The Preservation Hall Horns; special guest Ivan Neville (keys/vocals, Dumpstaphunk). Night 2 of 2-night Joy Theater run during Daze Between. Part of Fest by Nite 2026.",,,,,,Doors 6:30pm / Show 7:30pm,The Joy Theater (https://www.notion.so/The-Joy-Theater-330a37df871081278073f8f2e86aba86?pvs=21)
Karl Denson's Tiny Universe — The Fillmore,,Ticketed,"April 30, 2026",Claude Agent,Live Music,Yes,https://www.nola.com/gambit/events/new-orleans-spring-concert-calendar/article_616e7ec0-abfc-41ed-80d1-b2977ff2ea41.html,"PERFORMERS: Karl Denson's Tiny Universe (Karl Denson on sax/vocals, plus full band). Jazz-funk outfit. Coincides with Weekend 2 kickoff night. Listed in Gambit spring concert calendar.",,,,,,Evening,The Fillmore New Orleans (https://www.notion.so/The-Fillmore-New-Orleans-33da37df8710818a9e98c407b31db219?pvs=21)
Money Chicha — The Broadside,,TBA,"April 29, 2026",Claude Agent,Live Music,No,https://www.nola.com/gambit/events/new-orleans-spring-concert-calendar/article_616e7ec0-abfc-41ed-80d1-b2977ff2ea41.html,PERFORMERS: Money Chicha (psychedelic cumbia / tropical psych band). Daze Between show at The Broadside.,,,,,,Evening,The Broadside (https://www.notion.so/The-Broadside-330a37df8710817aa21ec9dfff49e4f1?pvs=21)
The Meters Reunion — Saenger Theatre,,SOLD OUT,"May 2, 2026",Claude Agent,,No,https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,"PERFORMERS: The Meters — George Porter Jr. (bass), Leo Nocentelli (guitar), and band. SOLD OUT. Also playing Fillmore NOLA earlier in the festival week with Dumpstaphunk (also sold out). One of two major Meters reunion shows during Jazz Fest 2026 season.",,,,,,Evening,Saenger Theatre (https://www.notion.so/Saenger-Theatre-336a37df871081ebb8f0e5c1f3167469?pvs=21)
The Meters — Saenger Theatre,,SOLD OUT,"May 2, 2026",Claude Agent,Live Music,Yes,https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,"PERFORMERS: The Meters (Leo Nocentelli, George Porter Jr., Zigaboo Modeliste). Reunion show at Saenger Theatre. SOLD OUT. Weekend 2 Saturday — same night as Lettuce/Stanton Moore/Howlin Wolf cluster. Note: separate from the Apr 24 Meters w/ Dumpstaphunk at Joy Theater (also sold out).",,,,,,Evening,
Help on the Way — Fest by Nite,,Ticketed,"April 30, 2026",Claude Agent,,Yes,https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,"PERFORMERS: Help on the Way (supergroup) ft. Eric Krasno (guitar), Ross James (drums), Oteil Burbridge (bass/Dead & Co), Grahame Lesh, Ivan Neville (keys), Nikki Glaspie (drums, Dumpstaphunk), Steve Watkins. Grateful Dead-inspired all-star project. Fest by Nite 2026 at The Howlin' Wolf. Same night as Lettuce RAGE!FEST and Stanton Moore.",,,,,,Evening,The Howlin' Wolf (https://www.notion.so/The-Howlin-Wolf-330a37df8710810e92e6ec8780c42dbf?pvs=21)
J & The Causeways: Alligator Rock — Fest by Nite,,Ticketed,"May 2, 2026",Claude Agent,,No,https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,PERFORMERS: J & The Causeways performing 'Alligator Rock: A New Orleans Tribute to Elton John'. Fest by Nite 2026 at Toulouse Theatre. Weekend 2 Saturday night.,,,,,,Evening,Toulouse Theatre (https://www.notion.so/Toulouse-Theatre-330a37df871081e7ad5efa952f2439ca?pvs=21)
Adam Deitch's 50th Birthday Bash — Fest by Nite,,Ticketed,"April 26, 2026",Claude Agent,Live Music,Yes,https://liveforlivemusic.com/news/new-orleans-jazz-fest-2026-schedule-the-cubes/,"PERFORMERS: Adam Deitch (drums, Lettuce/Break Science) 50th Birthday Celebration ft. Oteil Burbridge (Dead & Co), Ivan Neville (Dumpstaphunk), Marcus Machado, and more. Fest by Nite 2026 at The Broadside. Sun night close of Weekend 1.",,,,,,Evening,The Broadside (https://www.notion.so/The-Broadside-330a37df8710817aa21ec9dfff49e4f1?pvs=21)
,,,"April 10, 2026",,,No,,,,,,,,,
,,,"April 10, 2026",,,No,,,,,,,,,
,,,"April 10, 2026",,,No,,,,,,,,,
,,,,,,No,,,,,,,,,
